Prscrbr_Geo_Desc,Gnrc_Name,Tot_Clms
National,"Pen Needle, Diabetic","8,595"
National,"Pen Needle, Diabetic","15,390"
National,Abacavir Sulfate,"60,886"
National,Abacavir Sulfate/Lamivudine,"80,632"
National,Abacavir/Lamivudine/Zidovudine,"7,451"
National,Amphotericin B Lipid Complex,420
National,Aripiprazole,"32,171"
National,Aripiprazole,"1,37,331"
National,Paclitaxel Protein-Bound,704
National,Isotretinoin,246
National,Fentanyl Citrate,639
National,Acamprosate Calcium,"32,574"
National,Clindamycin Phos/Benzoyl Perox,496
National,Acarbose,"1,99,119"
National,Zafirlukast,"1,083"
National,Quinapril Hcl,"8,083"
National,Quinapril/Hydrochlorothiazide,985
National,Acebutolol Hcl,"1,12,577"
National,Acetaminophen/Caff/Dihydrocod,"2,261"
National,Acetaminophen With Codeine,"35,77,929"
National,Hydrocortisone/Acetic Acid,136
National,Acetazolamide,"3,12,142"
National,Acetazolamide Sodium,69
National,Acetic Acid,"66,834"
National,Acetic Acid/Aluminum Acetate,"1,428"
National,Acetylcysteine,"29,011"
National,Rabeprazole Sodium,"21,941"
National,Rabeprazole Sodium,169
National,Acitretin,"37,148"
National,Tocilizumab,"27,266"
National,Haemoph B Poly Conj-Tet Tox/Pf,422
National,Ursodiol,728
National,"Interferon Gamma-1b,recomb.",410
National,Fentanyl Citrate,123
National,Estradiol/Norethindrone Acet,"1,531"
National,Risedronate Sodium,"9,757"
National,Pioglitazone Hcl/Metformin Hcl,712
National,Pioglitazone Hcl/Metformin Hcl,"2,552"
National,Pioglitazone Hcl,"3,750"
National,Ketorolac Tromethamine,428
National,Ketorolac Tromethamine,207
National,Ketorolac Tromethamine/Pf,825
National,Acyclovir,"17,36,706"
National,Acyclovir Sodium,413
National,Dapsone,"3,415"
National,"Diph,pertuss(Acell),tet Vac/Pf","1,69,343"
National,Pegademase Bovine,11
National,Nifedipine,686
National,Adapalene,"10,162"
National,Adapalene/Benzoyl Peroxide,201
National,Tadalafil,"87,106"
National,Dextroamphetamine/Amphetamine,"7,385"
National,Dextroamphetamine/Amphetamine,"31,607"
National,Adefovir Dipivoxil,"6,403"
National,Riociguat,"26,191"
National,Lixisenatide,28
National,Epinephrine,265
National,Fluorouracil,42
National,Fluticasone/Salmeterol,"48,78,581"
National,Fluticasone/Salmeterol,"4,59,594"
National,"Pen Needle, Diabetic",145
National,"Pen Needle, Diabetic","13,872"
National,"Syring-Needl,disp,insul,0.3 Ml","1,347"
National,"Syringe And Needle,insulin,1ml","3,511"
National,"Syringe-Needle,insulin,0.5 Ml","3,641"
National,Amphetamine,575
National,Flunisolide,"3,054"
National,Nifedipine,"23,225"
National,Everolimus,"25,454"
National,Everolimus,119
National,"Insulin Regular, Human","2,638"
National,Aspirin/Dipyridamole,"1,01,098"
National,Anagrelide Hcl,321
National,Fluticasone/Salmeterol,285
National,Bacitracin/Polymyxin B Sulfate,802
National,Lidocaine Hcl/Pf,35
National,Netupitant/Palonosetron Hcl,930
National,Hydrocortisone,69
National,Hydrocortisone,185
National,Albendazole,"5,462"
National,Albumin Human,48
National,Albumin Human,34
National,Albuterol Sulfate,"6,34,700"
National,Alclometasone Dipropionate,"64,062"
National,Alcohol Antiseptic Pads,"2,77,084"
National,Alcohol Antiseptic Pads,"6,36,242"
National,Alcohol Antiseptic Pads,106
National,Alcohol Antiseptic Pads,"36,879"
National,Alcohol Antiseptic Pads,"79,261"
National,Alcohol Antiseptic Pads,"5,099"
National,Spironolact/Hydrochlorothiazid,"1,504"
National,Spironolactone,"3,214"
National,Imiquimod,123
National,Laronidase,63
National,Alectinib Hcl,"3,626"
National,Alendronate Sodium,"75,39,384"
National,Alfuzosin Hcl,"6,35,816"
National,Pemetrexed Disodium,"1,437"
National,Nitazoxanide,"5,798"
National,Melphalan,106
National,Allopurinol,"88,53,759"
National,Butalbital/Acetaminophen,605
National,Almotriptan Malate,"5,532"
National,Nedocromil Sodium,"1,887"
National,Alogliptin Benzoate,"13,888"
National,Alogliptin Benz/Metformin Hcl,"3,358"
National,Alogliptin Benz/Pioglitazone,"6,443"
National,Lodoxamide Tromethamine,787
National,Estradiol,"3,675"
National,Alosetron Hcl,"10,249"
National,Palonosetron Hcl,"2,088"
National,Brimonidine Tartrate,"8,23,733"
National,Alprazolam,"1,39,70,675"
National,Alprazolam,"48,209"
National,Alprazolam,299
National,Alprazolam,"7,950"
National,Alprazolam,"21,941"
National,Loteprednol Etabonate,"45,022"
National,Ramipril,"12,011"
National,Levonorgestrel-Ethin Estradiol,"1,815"
National,Lovastatin,"1,641"
National,Brigatinib,271
National,Ciclesonide,"13,778"
National,Norethindrone-Ethinyl Estrad,"4,379"
National,Estradiol/Norethindrone Acet,"4,745"
National,Amantadine Hcl,"5,15,092"
National,Glimepiride,"5,054"
National,Zolpidem Tartrate,"22,283"
National,Zolpidem Tartrate,"16,620"
National,Amphotericin B Liposome,474
National,Amcinonide,"2,021"
National,Naratriptan Hcl,568
National,L-Norgest/E.Estradiol-E.Estrad,"1,148"
National,L-Norgest/E.Estradiol-E.Estrad,516
National,Levonorgestrel-Ethin Estradiol,903
National,Aminocaproic Acid,"2,753"
National,Amikacin Sulfate,"15,859"
National,Amiloride Hcl,"95,430"
National,Amiloride/Hydrochlorothiazide,"82,644"
National,Aminocaproic Acid,48
National,Aminophylline,12
National,Amiodarone Hcl,"26,42,274"
National,Lubiprostone,"8,41,898"
National,Amitriptyline Hcl,"39,09,231"
National,Amlodipine Besylate,"4,05,43,272"
National,Amlodipine Besylate/Benazepril,"20,37,180"
National,Amlodipine/Atorvastatin,"1,10,850"
National,Amlodipine Bes/Olmesartan Med,"1,97,994"
National,Amlodipine Besylate/Valsartan,"4,02,753"
National,Amlodipine/Valsartan/Hcthiazid,"1,19,217"
National,Ammonium Lactate,"9,19,159"
National,Isotretinoin,336
National,Amoxapine,"9,996"
National,Amoxicillin,"72,99,586"
National,Amoxicillin/Potassium Clav,"13,711"
National,Amoxicillin/Potassium Clav,"47,64,506"
National,Amphotericin B,"1,180"
National,Ampicillin Sodium,"13,147"
National,Ampicillin Trihydrate,"1,62,963"
National,Ampicillin Sodium/Sulbactam Na,"15,561"
National,Dalfampridine,"91,967"
National,Cyclobenzaprine Hcl,"6,447"
National,Oxymetholone,262
National,Clomipramine Hcl,498
National,Anagrelide Hcl,"41,729"
National,Hydrocortisone/Pramoxine,401
National,Naproxen Sodium,33
National,Hyoscyamine Sulfate,608
National,Anastrozole,"14,17,721"
National,Flucytosine,13
National,Testosterone,"31,547"
National,Testosterone,"3,02,978"
National,Fluoxymesterone,84
National,Drospirenone/Estradiol,"1,056"
National,Umeclidinium Brm/Vilanterol Tr,"9,13,722"
National,Disulfiram,42
National,"Fenofibrate,micronized","1,632"
National,Hydrocortisone Acetate,80
National,Hydrocortisone,"1,352"
National,Dolasetron Mesylate,20
National,Diflorasone Diacetate/Emoll,722
National,Insulin Glulisine,"12,623"
National,Insulin Glulisine,"25,073"
National,Bupropion Hbr,"1,946"
National,Apomorphine Hcl,"3,624"
National,Apraclonidine Hcl,"5,591"
National,Aprepitant,"7,603"
National,Desogestrel-Ethinyl Estradiol,"9,735"
National,Mesalamine,"1,66,514"
National,Methylphenidate Hcl,243
National,Eslicarbazepine Acetate,"52,408"
National,Tipranavir,"1,756"
National,Alpha-1-Proteinase Inhibitor,"4,377"
National,Norethindrone-Ethinyl Estrad,800
National,Darbepoetin Alfa In Polysorbat,"33,352"
National,Leflunomide,719
National,Rilonacept,92
National,Indacaterol Maleate,"4,471"
National,Minocycline Hcl Microspheres,"3,534"
National,Donepezil Hcl,"7,973"
National,Anastrozole,"3,785"
National,Aripiprazole,"29,22,987"
National,Aripiprazole,"3,246"
National,Aripiprazole Lauroxil,"33,988"
National,Fondaparinux Sodium,306
National,Armodafinil,"1,00,266"
National,"Thyroid,pork","2,33,177"
National,Fluticasone Furoate,"1,29,417"
National,Exemestane,"1,713"
National,Diclofenac Sodium/Misoprostol,866
National,Diclofenac Sodium/Misoprostol,"2,694"
National,Morphine Sulfate,104
National,Ofatumumab,15
National,Codeine/Butalbital/Asa/Caffein,11
National,Mesalamine,"59,174"
National,Codeine/Butalbital/Asa/Caffein,"14,210"
National,L-Norgest/E.Estradiol-E.Estrad,"1,935"
National,Mometasone Furoate,"1,45,841"
National,Mometasone Furoate,"36,543"
National,Aspirin/Caffein/Dihydrocodeine,81
National,Aspirin/Dipyridamole,"3,27,883"
National,"Syringe,needle,insuln,sf 0.5ml",73
National,Tacrolimus,653
National,Azelastine Hcl,"1,774"
National,Candesartan Cilexetil,"11,386"
National,Candesartan/Hydrochlorothiazid,"3,936"
National,Risedronate Sodium,"8,063"
National,Atenolol,"1,06,42,374"
National,Atenolol/Chlorthalidone,"6,16,136"
National,Lorazepam,"11,122"
National,Atomoxetine Hcl,"71,145"
National,Atorvastatin Calcium,"4,85,33,867"
National,Atovaquone,"37,948"
National,Atovaquone/Proguanil Hcl,"59,130"
National,Tretinoin,101
National,Efavirenz/Emtricit/Tenofovr Df,"1,52,074"
National,Atropine Sulfate,"1,30,669"
National,Ipratropium Bromide,"3,09,731"
National,Teriflunomide,"73,851"
National,Amoxicillin/Potassium Clav,169
National,Ferric Citrate,"55,239"
National,Deutetrabenazine,"3,293"
National,"Pen Needle,dual Safety,diabetc","1,41,756"
National,"Pen Needle, Diabetic, Safety",300
National,Epinephrine,319
National,Irbesartan/Hydrochlorothiazide,"4,442"
