Prscrbr_Geo_Desc,Gnrc_Name,Tot_Clms
National,"Pen Needle, Diabetic",5392
National,"Pen Needle, Diabetic",14579
National,Abacavir Sulfate,44260
National,Abacavir Sulfate/Lamivudine,50236
National,Abacavir/Lamivudine/Zidovudine,3648
National,Amphotericin B Lipid Complex,777
National,Aripiprazole,20928
National,Aripiprazole,189097
National,Aripiprazole,24
National,Abiraterone Acetate,98722
National,Paclitaxel Protein-Bound,1190
National,Isotretinoin,150
National,Fentanyl Citrate,163
National,Acamprosate Calcium,37171
National,Clindamycin Phos/Benzoyl Perox,107
National,Acarbose,192348
National,Zafirlukast,731
National,Quinapril Hcl,6757
National,Quinapril/Hydrochlorothiazide,776
National,Acebutolol Hcl,97698
National,Acetaminophen/Caff/Dihydrocod,2783
National,Acetaminophen With Codeine,3202957
National,Acetazolamide,231038
National,Acetazolamide,84199
National,Acetazolamide Sodium,58
National,Acetic Acid,67469
National,Acetylcysteine,28072
National,Rabeprazole Sodium,15888
National,Acitretin,45299
National,Tocilizumab,35733
National,Tocilizumab,4463
National,Corticotropin,10968
National,Haemoph B Poly Conj-Tet Tox/Pf,1131
National,Ursodiol,552
National,"Interferon Gamma-1b,recomb.",381
National,Fentanyl Citrate,61
National,Estradiol/Norethindrone Acet,675
National,Risedronate Sodium,4581
National,Pioglitazone Hcl/Metformin Hcl,433
National,Pioglitazone Hcl/Metformin Hcl,13
National,Pioglitazone Hcl,2461
National,Ketorolac Tromethamine,297
National,Ketorolac Tromethamine,128
National,Ketorolac Tromethamine/Pf,587
National,Acyclovir,1852391
National,Acyclovir Sodium,324
National,Dapsone,1577
National,"Diph,pertuss(Acell),tet Vac/Pf",182314
National,Nifedipine,270
National,Adapalene,12290
National,Adapalene/Benzoyl Peroxide,1195
National,Tadalafil,18904
National,Dextroamphetamine/Amphetamine,9563
National,Dextroamphetamine/Amphetamine,40173
National,Adefovir Dipivoxil,5149
National,Riociguat,30594
National,Lixisenatide,73
National,Insulin Lispro,9228
National,Insulin Lispro,20460
National,Epinephrine,380
National,Doxorubicin Hcl,17
National,Fluorouracil,44
National,Fluticasone Propion/Salmeterol,2681651
National,Fluticasone Propion/Salmeterol,481361
National,"Pen Needle, Diabetic",2021
National,"Pen Needle, Diabetic",26139
National,"Syring-Needl,disp,insul,0.3 Ml",2331
National,"Syringe And Needle,insulin,1ml",5494
National,"Syringe-Needle,insulin,0.5 Ml",6687
National,Amphetamine,12
National,Amphetamine,1068
National,Nifedipine,84
National,Everolimus,26978
National,Everolimus,263
National,Levonorgestrel/Ethin.Estradiol,25
National,"Insulin Regular, Human",5264
National,Aspirin/Dipyridamole,19702
National,Anagrelide Hcl,432
National,Erenumab-Aooe,169404
National,Erenumab-Aooe,18093
National,Fluticasone Propion/Salmeterol,779
National,Fremanezumab-Vfrm,42338
National,Bacitracin/Polymyxin B Sulfate,1110
National,Lidocaine Hcl/Pf,89
National,Erythromycin/Benzoyl Peroxide,23
National,Fosnetupitant/Palonosetron,236
National,Netupitant/Palonosetron Hcl,545
National,Hydrocortisone,48
National,Hydrocortisone,260
National,Albendazole,6116
National,Albendazole,320
National,Albumin Human,17
National,Albumin Human,25
National,Albuterol Sulfate,512849
National,Albuterol Sulfate,3134375
National,Alclometasone Dipropionate,64531
National,Alcohol Antiseptic Pads,461615
National,Alcohol Antiseptic Pads,695920
National,Alcohol Antiseptic Pads,36935
National,Alcohol Antiseptic Pads,61361
National,Alcohol Antiseptic Pads,4698
National,Spironolact/Hydrochlorothiazid,1047
National,Spironolactone,2456
National,Imiquimod,95
National,Laronidase,75
National,Alectinib Hcl,5955
National,Alendronate Sodium,7458003
National,Alfuzosin Hcl,720644
National,Pemetrexed Disodium,1600
National,Nitazoxanide,5620
National,Aliskiren Hemifumarate,27457
National,Allopurinol,8998153
National,Butalbital/Acetaminophen,320
National,Almotriptan Malate,6230
National,Nedocromil Sodium,1347
National,Alogliptin Benzoate,42463
National,Alogliptin Benz/Metformin Hcl,7580
National,Alogliptin Benz/Pioglitazone,4348
National,Lodoxamide Tromethamine,543
National,Estradiol,2077
National,Alosetron Hcl,11151
National,Palonosetron Hcl,398
National,Brimonidine Tartrate,703446
National,Alprazolam,12641671
National,Alprazolam,50066
